Package,LibPath,Version,Priority,Built
KMsurv,C:/Users/ds93656/Documents/R/win-library/3.3,0.1-5,NA,3.3.2
knitr,C:/Users/ds93656/Documents/R/win-library/3.3,1.20,NA,3.3.3
labeling,C:/Users/ds93656/Documents/R/win-library/3.3,0.3,NA,3.3.2
Lahman,C:/Users/ds93656/Documents/R/win-library/3.3,6.0-0,NA,3.3.3
later,C:/Users/ds93656/Documents/R/win-library/3.3,0.7.3,NA,3.3.3
latticeExtra,C:/Users/ds93656/Documents/R/win-library/3.3,0.6-28,NA,3.3.3
lazyeval,C:/Users/ds93656/Documents/R/win-library/3.3,0.2.1,NA,3.3.3
lubridate,C:/Users/ds93656/Documents/R/win-library/3.3,1.7.4,NA,3.3.3
magrittr,C:/Users/ds93656/Documents/R/win-library/3.3,1.5,NA,3.3.3
markdown,C:/Users/ds93656/Documents/R/win-library/3.3,0.8,NA,3.3.3
maxstat,C:/Users/ds93656/Documents/R/win-library/3.3,0.7-25,NA,3.3.3
memoise,C:/Users/ds93656/Documents/R/win-library/3.3,1.1.0,NA,3.3.3
mime,C:/Users/ds93656/Documents/R/win-library/3.3,0.5,NA,3.3.2
mnormt,C:/Users/ds93656/Documents/R/win-library/3.3,1.5-5,NA,3.3.2
modelr,C:/Users/ds93656/Documents/R/win-library/3.3,0.1.2,NA,3.3.3
munsell,C:/Users/ds93656/Documents/R/win-library/3.3,0.4.3,NA,3.3.3
mvtnorm,C:/Users/ds93656/Documents/R/win-library/3.3,1.0-7,NA,3.3.3
nycflights13,C:/Users/ds93656/Documents/R/win-library/3.3,0.2.2,NA,3.3.3
openssl,C:/Users/ds93656/Documents/R/win-library/3.3,1.0.1,NA,3.3.3
pdftools,C:/Users/ds93656/Documents/R/win-library/3.3,1.8,NA,3.3.3
pillar,C:/Users/ds93656/Documents/R/win-library/3.3,1.2.3,NA,3.3.3
pkgconfig,C:/Users/ds93656/Documents/R/win-library/3.3,2.0.1,NA,3.3.3
plogr,C:/Users/ds93656/Documents/R/win-library/3.3,0.2.0,NA,3.3.3
plotly,C:/Users/ds93656/Documents/R/win-library/3.3,4.8.0,NA,3.3.3
plyr,C:/Users/ds93656/Documents/R/win-library/3.3,1.8.4,NA,3.3.3
polynom,C:/Users/ds93656/Documents/R/win-library/3.3,1.3-9,NA,3.3.2
praise,C:/Users/ds93656/Documents/R/win-library/3.3,1.0.0,NA,3.3.3
prettyunits,C:/Users/ds93656/Documents/R/win-library/3.3,1.0.2,NA,3.3.3
processx,C:/Users/ds93656/Documents/R/win-library/3.3,2.0.0.1,NA,3.3.3
promises,C:/Users/ds93656/Documents/R/win-library/3.3,1.0.1,NA,3.3.3
